id,resume_text,category,group_id
6252,"Responsibilities: ablation, feature engineering. Achievements: wrote papers describing novel architectures and results. Involved in cross-functional. Contributed to wrote papers describing novel architectures and results and owned ablation, experiment. Worked on ablation, sql, feature engineering. Delivered: wrote papers describing novel architectures and results. Involved in POC. Core skills: ablation, feature engineering, experiment, sql. Recent work includes deployed services as containers with CI/CD.",AI Researcher,352
4684,"contributed to managed streaming pipelines and schema evolution and owned pipeline, testing, paper, monitoring. contributed to deployed services as containers with ci/cd and owned sql, monitoring.",Data Engineer,284
1731,"responsibilities: visualization, aws, gcp, visualization. achievements: developed forecasting models and validated with backtesting. responsibilities: aws, gcp, visualization, visualization. achievements: developed forecasting models and validated with backtesting.",Data Scientist,31
4742,"Worked on paper, experiment, regression. Delivered: managed streaming pipelines and schema evolution. Worked on automation, paper. Delivered: implemented mdl evaluation and automated tests. Worked on regression, benchmark, paper. Delivered: managed streaming pipelines and schema evolution.",Data Engineer,242
4521,"Responsibilities: python, testing, pytorch. Achievements: designed ETL jobs and partitioning for low-latency queries. Core skills: feature eng, regression, experiment, testing. Recent work includes implemented mdl evaluation and automated tests. Responsibilities: python, experiment, pytorch, testing. Achievements: designed ETL jobs and partitioning for low-latency queries.",Data Engineer,221
6340,"Collaborated closely with product and platform teams to define SLAs. Responsibilities: monitoring, python. Achievements: wrote papers describing novel architectures and results. Core skills: testing, transformer. Recent work includes created dashboards to surface business KPIs.",AI Researcher,340
576,"Worked on api, gcp. Delivered: developed forecasting models and validated with backtesting. Responsibilities: gcp, api. Achievements: developed forecasting models and validated with backtesting.",Data Scientist,76
5202,"Responsibilities: gcp, testing, data warehousing. Achievements: managed streaming pipelines and schema evolution. Core skills: kafka, data warehousing, testing, gcp. Recent work includes implemented model evaluation and automated tests. Worked on gcp, testing, kafka, data warehousing. Delivered: implemented model evaluation and automated tests. Core skills: data warehousing, kafka. Recent work includes implemented model evaluation and automated tests.",Data Engineer,202
6363,"AI Researcher — experience building ML & data products. Core skills: theory, benchmark. Recent work includes ran reproducible experiments and released code with ablations. Contributed to designed metric-driven experiments and tracked results and owned pipeline, eda, automation.",AI Researcher,363
439,"Responsibilities: pipeline, python. Achievements: designed metric-driven experiments and tracked results. Core skills: pipeline, python, eda. Recent work includes ran feature selection and cross-validation at scale. Responsibilities: pipeline, python. Achievements: designed metric-driven experiments and tracked results. Contributed to ran feature selection and cross-validation at scale and owned python, eda, pipeline.",Data Scientist,39
2750,"Collaborated closely with product and platform teams to define SLAs. Core skills: automation, gcp, ci/cd. Recent work includes designed metric-driven experiments and tracked results. Responsibilities: pipeline, experiment. Achievements: optimized inference latency via quantization and batching.",ML Engineer,150
7487,"Contributed to wrote papers describing novel architectures and results and owned cloud, transformer. Contributed to wrote papers describing novel architectures and results and owned statistical modeling, benchmark. Worked on transformer, statistical modeling, benchmark. Delivered: wrote papers describing novel architectures and results. Collaborated closely with product and platform teams to define SLAs. Contributed to wrote papers describing novel architectures and results and owned benchmark, benchmark, api, cloud.",AI Researcher,387
5272,"Responsibilities: docker, sql, pipeline. Achievements: designed ETL jobs and partitioning for low-latency queries. Contributed to implemented model evaluation and automated tests and owned api, sql.",Data Engineer,272
5653,"Responsibilities: feature engineering, cloud, data warehousing. Achievements: built scalable data pipelines with retries and monitoring. Core skills: feature engineering, cloud, data warehousing. Recent work includes designed ETL jobs and partitioning for low-latency queries. Contributed to built scalable data pipelines with retries and monitoring and owned gcp, feature engineering, cloud. Contributed to built scalable data pipelines with retries and monitoring and owned feature engineering, data warehousing.",Data Engineer,253
3999,"Core skills: testing, latency. Recent work includes optimized inference latency via quantization and batching. Worked on latency, regression, testing, latency. Delivered: created dashboards to surface business KPIs. Contributed to optimized inference latency via quantization and batching and owned latency, regression, testing. Mentored junior engineers and contributed to open-source tooling. Worked on experiment, regression, latency. Delivered: built scalable data pipelines with retries and monitoring.",ML Engineer,199
6033,"Collaborated closely with product and platform teams to define SLAs. Responsibilities: benchmark, transformer, pipeline. Achievements: designed metric-driven experiments and tracked results. Responsibilities: pipeline, transformer. Achievements: created dashboards to surface business KPIs. Worked on feature engineering, api. Delivered: ran reproducible experiments and released code with ablations.",AI Researcher,333
582,"Worked on regression, monitoring, ablation. Delivered: deployed services as containers with CI/CD. Contributed to designed metric-driven experiments and tracked results and owned gcp, regression, testing. Core skills: pandas, visualization. Recent work includes deployed services as containers with CI/CD.",Data Scientist,82
9930,"Core skills: aws, monitoring, pipeline, cloud. Recent work includes implemented model evaluation and automated tests. Core skills: monitoring, schema, pytorch. Recent work includes fine-tuned generative models and evaluated outputs qualitatively. Core skills: schema, aws, pipeline, cloud. Recent work includes implemented model evaluation and automated tests.",Generative AI,430
7051,"Contributed to deployed services as containers with CI/CD and owned kafka, aws, python. Contributed to ran reproducible experiments and released code with ablations and owned sql, aws. Focused on robust monitoring, logging, and reproducibility. Responsibilities: transformer, aws. Achievements: deployed services as containers with CI/CD. Core skills: gcp, python, self-supervised, transformer. Recent work includes ran reproducible experiments and released code with ablations.",AI Researcher,351
8158,"Contributed to adaptation of a pretrained model and owned aws, feature engineering. Worked on prompt, inpainting, feature engineering, aws. Delivered: adaptation of a pretrained model.",Generative AI,458
9896,"Involved in open-source. Worked on llm, docker, monitoring. Delivered: domain-specific tuning. Worked on docker, monitoring, sql. Delivered: created dashboards to surface business KPIs. Responsibilities: monitoring, inpainting. Achievements: deployed services as containers with CI/CD. Involved in cross-functional.",Generative AI,496
2249,"Responsibilities: visualization, monitoring, ci/cd, docker. Achievements: reduced-precision optimization. Contributed to reduced-precision optimization and owned monitoring, visualization.",ML Engineer,149
4640,"Data Engineer — experience building ML & data products. Responsibilities: sql, monitoring, etl, automation. Achievements: created dashboards to surface business KPIs. Worked on automation, monitoring, sql, etl. Delivered: created dashboards to surface business KPIs.",Data Engineer,240
9485,"Generative AI — experience building ML & data products. Involved in cross-functional. Contributed to fine-tuned generative models and evaluated outputs qualitatively and owned docker, ablation, prompt, tensorflow. Involved in open-source. Involved in on-call. Responsibilities: cloud, docker, ablation. Achievements: deployed services as containers with CI/CD. Contributed to fine-tuned generative models and evaluated outputs qualitatively and owned cloud, api.",Generative AI,485
4947,"Data Engineer — experience building ML & data products. Contributed to implemented model evaluation and automated tests and owned schema, sql, automation, pipeline. Core skills: pipeline, schema, sql, automation. Recent work includes designed ETL jobs and partitioning for low-latency queries. Core skills: schema, pipeline, testing, automation. Recent work includes designed ETL jobs and partitioning for low-latency queries. Contributed to designed ETL jobs and partitioning for low-latency queries and owned pipeline, testing, schema.",Data Engineer,247
9920,"Generative AI — experience building ML & data products. worked on sql, fine-tune, cloud, pytorch. delivered: built retrieval-augmented generation flows and safety filters. core skills: cloud, fine-tune, pytorch, sql. recent work includes created dashboards to surface business kpis. mentored junior engineers and contributed to open-source tooling. core skills: fine-tune, pytorch, sql, cloud. recent work includes created dashboards to surface business kpis.",Generative AI,420
1963,"Responsibilities: gcp, llm, serving, paper. Achievements: designed metric-driven experiments and tracked results. Worked on sql, paper, serving, llm. Delivered: designed metric-driven experiments and tracked results. Worked on gcp, sql. Delivered: implemented model evaluation and automated tests.",Data Scientist,63
8243,"worked on text-to-image, experiment, cloud. delivered: implemented model evaluation and automated tests. involved in on-call. responsibilities: experiment, text-to-image, model registry, cloud. achievements: built retrieval-augmented generation flows and safety filters. worked on experiment, text-to-image, cloud, model registry. delivered: built retrieval-augmented generation flows and safety filters. involved in collab. core skills: model registry, cloud, text-to-image. recent work includes implemented model evaluation and automated tests.",Generative AI,443
6590,"Mentored junior engineers and contributed to open-source tooling. Responsibilities: ci/cd, pipeline, feature engineering. Achievements: wrote papers describing novel architectures and results. Core skills: api, docker, ci/cd, latency. Recent work includes wrote papers describing novel architectures and results. Responsibilities: ci/cd, api, latency, llm. Achievements: wrote papers describing novel architectures and results. Responsibilities: api, feature engineering, ci/cd. Achievements: wrote papers describing novel architectures and results.",AI Researcher,390
8847,"Responsibilities: feature engineering, diffusion, sql. Achievements: fine-tuned generative models and evaluated outputs qualitatively. Involved in sla. Involved in open-source. Contributed to designed metric-driven experiments and tracked results and owned text-to-image, docker, diffusion, monitoring.",Generative AI,447
